SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
2095,2,3,Suburb,2020,198208.80390657103
1121,5,2,Urban,2004,95961.92601406392
1330,2,2,Suburb,1992,132172.3926169813
2396,2,2,Suburb,1993,267377.3996858498
2123,5,2,Rural,1956,190773.14856300573
2685,4,3,Urban,1999,405523.82831733953
1769,4,1,Suburb,1963,148310.62016790514
1385,4,3,Rural,1996,88030.54185271678
1747,5,3,Rural,1982,228683.2269961876
1957,4,2,Rural,1994,239299.9944944986
1831,2,2,Rural,2000,190058.8928999779
2297,2,2,Urban,2017,194967.9094711132
1600,4,2,Rural,2002,256725.9809436184
1897,4,2,Rural,1975,304004.68986597785
2363,5,3,Urban,2004,308830.9396512381
1763,4,2,Urban,1971,207380.13609180792
2862,3,3,Urban,1961,219408.6249604324
2863,5,1,Suburb,2000,333464.1490294491
2485,5,3,Urban,1960,321647.4526525699
1642,4,2,Suburb,1951,216976.90806023663
2577,4,2,Suburb,1966,209166.2973385366
1863,4,3,Suburb,1990,267934.0925699399
2430,4,2,Urban,1994,252666.84831969367
2663,2,3,Suburb,1993,283301.9362070697
2496,3,2,Rural,1970,316708.5953854667
1632,4,3,Rural,2005,211665.6221785599
2768,4,2,Urban,2004,337510.5084427254
2257,2,1,Urban,1991,211357.56307458412
2636,3,2,Urban,2003,240419.9739043436
2426,5,2,Urban,1975,308529.3077393932
1835,5,1,Suburb,2015,241849.2414576917
2930,3,3,Rural,1972,370459.8290291032
2349,2,2,Suburb,1996,281507.7449630544
2959,3,3,Urban,1990,384570.7364514372
1623,5,2,Rural,1986,236531.66553606672
2327,2,1,Urban,1953,212603.1701695292
1253,4,3,Suburb,1952,205827.91372135773
2060,2,2,Urban,1983,202645.46873652583
1509,4,3,Suburb,1971,152417.95938444213
1098,2,1,Urban,1972,97639.64420350434
1160,5,3,Suburb,1970,174048.9195625192
1954,5,2,Urban,1959,268826.7410314462
2388,3,3,Rural,1987,274896.26156200573
2799,4,1,Rural,1998,182649.2382746536
1283,2,3,Rural,1978,172933.77203910236
1546,3,3,Rural,1957,251427.1553830112
1496,2,3,Rural,1998,123828.10360692852
1699,3,2,Rural,1963,150304.54943999165
1927,5,2,Urban,2001,172279.06490573462
2184,3,1,Suburb,1994,205236.28390756497
2346,4,2,Suburb,1994,279439.98438546
1127,4,1,Suburb,1965,127174.72259461066
2686,2,1,Urban,1966,196431.16181485064
1961,3,1,Urban,1965,192271.5714413316
2409,3,2,Suburb,2011,333108.7015124155
2416,4,2,Suburb,2010,361696.0810396887
1758,5,2,Urban,1986,280965.8950193331
1537,4,3,Urban,2019,110904.32560798927
1827,3,2,Urban,1983,206212.79258609767
2529,4,1,Suburb,1953,214945.59477018565
2799,2,3,Suburb,2018,388318.721111638
1833,4,3,Suburb,1954,139343.72748855263
1837,3,3,Rural,1976,129730.19741095706
1268,4,3,Urban,2015,145269.20365725964
2081,2,3,Urban,1988,202344.3255562944
1896,3,2,Rural,1964,171955.104831796
2295,3,3,Suburb,2008,175119.20936481262
2470,5,1,Suburb,2018,276587.1870510741
1860,4,3,Rural,1996,187289.18440161628
2099,3,3,Urban,2010,125993.0726556148
2092,4,2,Urban,2005,246644.1788837266
1217,5,3,Suburb,2019,228079.11351403585
1473,5,3,Rural,1958,148489.51219153902
1550,2,2,Urban,2013,115706.61525987924
2635,5,1,Suburb,1988,270138.59707251686
2277,5,3,Rural,1975,258865.26034286627
2757,5,1,Suburb,1983,296494.37010478094
1791,4,1,Rural,1999,152462.49930589722
1257,5,1,Suburb,1992,218502.8587774109
2630,2,1,Urban,2018,261717.1541109648
1498,4,2,Rural,1973,288403.4882448866
1753,4,2,Urban,1974,185248.1657127602
1675,2,2,Urban,1980,216085.781634223
2122,2,1,Urban,2014,152222.32123196096
1977,3,2,Urban,1979,284245.94156282244
1095,4,1,Urban,2021,172054.11113967386
1216,2,1,Rural,1991,151148.9419555298
1595,4,3,Suburb,2004,138738.90112488047
1264,3,3,Suburb,1971,185462.10056795456
2507,5,1,Rural,1999,321563.40710783505
2238,5,2,Rural,1985,230947.2624105161
1587,5,2,Suburb,2020,208334.57395061577
2276,2,3,Rural,1969,211264.24766899477
1945,3,1,Urban,1971,208194.23872286797
2519,4,2,Suburb,1998,225675.3304178081
2388,3,1,Suburb,1992,253719.6212512084
1499,4,3,Suburb,1992,41630.73903968584
2205,2,1,Suburb,2002,238840.57227716385
2881,4,2,Rural,1980,363943.3169361488
2554,3,3,Suburb,1988,254325.533799992
2683,4,2,Rural,2021,373582.4579638869
1455,5,3,Rural,1970,141658.680700331
1189,5,1,Rural,1956,194760.360587696
2140,3,2,Urban,1963,232001.8099941528
2682,4,3,Suburb,1963,244530.0160029172
1958,5,1,Urban,1952,256779.9117483605
1731,4,1,Suburb,1989,149708.53136453356
1797,4,2,Suburb,1999,234486.01240700684
2668,2,2,Rural,1982,258006.46454140887
1437,5,3,Rural,1991,152095.59082597902
1267,4,1,Urban,1987,157519.0965890365
2230,4,2,Suburb,1996,207817.6999502768
1852,4,2,Rural,1963,151088.13116539095
1074,2,2,Urban,1991,145292.96624164618
1434,4,2,Rural,1989,227151.09262741785
2358,5,1,Suburb,1990,276729.5247093755
2353,5,1,Rural,1986,259199.89984603744
1760,3,3,Suburb,1984,242093.566167642
1094,5,3,Urban,1989,150610.52982059156
1899,3,2,Suburb,2015,183344.2437473196
1092,4,3,Rural,1963,82690.01099543218
2969,3,1,Urban,1950,321467.97516820824
2536,2,1,Suburb,1984,313418.688090912
2144,3,2,Suburb,2006,255121.82910899463
1665,3,2,Rural,2021,175376.27163348
1749,3,1,Rural,2014,153530.47303057194
1805,3,3,Rural,1993,158850.12450646033
1536,4,3,Rural,1951,231199.85045298023
1144,4,3,Urban,1955,140611.7564365718
2603,4,2,Rural,1955,262747.1866764889
1066,5,1,Urban,2001,121229.06696989594
1594,3,3,Rural,1974,230984.63033480055
1349,4,3,Suburb,2006,69051.27590717527
2630,3,2,Rural,2000,237559.91862629275
2160,3,2,Rural,1964,240498.29416751303
1139,4,2,Urban,1973,144597.0045224462
2917,3,3,Urban,1991,394127.1705851255
1689,3,1,Suburb,1957,171906.8920854213
1897,2,3,Urban,2001,352779.5971830275
1269,5,3,Urban,1979,221758.65514275213
2065,3,2,Urban,1960,242018.57414417935
1615,3,1,Urban,1975,192169.9286915295
2970,2,2,Rural,1979,411419.5806336825
1419,5,2,Urban,1985,238711.63955741408
2932,5,1,Suburb,1968,276777.87852348736
2180,4,2,Rural,1978,243654.5645658008
1046,2,2,Rural,1979,130267.42950534391
1871,5,1,Rural,1978,263080.86585790035
2003,2,1,Suburb,1972,177089.86778592397
2205,4,3,Suburb,1991,252324.87700019183
1566,4,1,Rural,1994,221489.1806227411
1074,4,2,Suburb,1965,81813.51365493296
1385,4,3,Rural,1957,144371.78519137594
1639,2,3,Rural,1952,110120.31622266464
1848,2,2,Rural,1972,198300.80316419865
1341,4,3,Suburb,2018,150194.76743121463
2341,3,1,Urban,1975,240546.60679148155
1113,2,2,Rural,2012,110817.16006572386
2920,4,1,Rural,1958,321136.8012246136
2858,5,1,Urban,1992,227559.8727244456
2077,3,3,Rural,1975,186754.3670993076
2632,5,3,Rural,1983,276882.12844961474
2287,2,1,Suburb,1985,240203.13138387637
2101,5,1,Suburb,1952,87154.24371565084
1490,2,1,Suburb,1982,246946.03094606983
1909,5,1,Urban,2000,212014.00768731025
1943,2,1,Suburb,1985,231611.7539422816
1914,5,2,Suburb,1992,313483.01149662153
1081,3,2,Suburb,2002,164366.40385722584
1708,5,1,Suburb,1959,277973.3541615554
2022,4,2,Rural,1963,198410.4224978399
2757,5,3,Urban,1957,341431.77061653195
1551,2,2,Suburb,1982,201373.4892363218
2132,5,1,Suburb,2021,286284.9743795312
1804,4,3,Rural,1993,246069.7117481939
2700,3,1,Urban,2019,364572.707351598
1997,2,1,Suburb,2005,231828.1055173973
2802,2,1,Suburb,1973,290291.4893831788
1743,3,2,Suburb,2012,174115.4864869599
2250,2,3,Urban,1982,235548.02423719555
1663,2,2,Suburb,1959,209443.9246866108
1068,3,3,Rural,1970,233427.98906419516
2490,3,3,Suburb,2014,353591.3291120492
2872,4,2,Suburb,1965,291782.844013409
1481,5,2,Suburb,1981,147866.62031564207
1295,2,1,Suburb,1974,95325.13959072264
1107,5,1,Urban,1954,148553.81602660328
1956,5,2,Rural,1978,191179.46549111055
2040,5,3,Urban,1964,224483.8792327053
1338,2,3,Rural,1988,157729.39618610864
1709,5,3,Urban,1960,208909.53739105564
2561,5,2,Suburb,1989,299016.1403624554
2109,4,2,Suburb,1985,349454.95850998146
2542,5,1,Rural,2005,295046.5885180142
1687,5,2,Suburb,1999,136244.5642470011
2549,5,3,Suburb,1993,395271.1742240697
2539,4,1,Rural,1957,305364.6087710595
2372,5,2,Suburb,2005,308226.4753324258
2184,4,3,Suburb,2015,209562.62001083585
1492,2,2,Suburb,1960,150435.66622777618
2473,5,1,Rural,2002,279766.3872648012
1738,3,2,Urban,1984,137915.9165077912
2804,3,1,Rural,2020,287512.4521658729
2914,3,2,Urban,1986,299196.62922622584
2382,5,3,Rural,1996,152940.81949787936
1576,4,2,Suburb,2004,145656.0371493761
2981,2,2,Rural,1954,395189.3898631972
2176,5,1,Urban,1981,188121.3356746112
1563,5,3,Rural,1969,215754.259870988
1771,5,2,Urban,1978,212070.8230299509
2594,4,2,Suburb,1974,287121.0473690033
1217,4,2,Urban,1952,186020.94086874643
2913,4,1,Rural,2015,347849.1353135578
2513,5,3,Rural,1962,340864.02426433563
1780,4,3,Suburb,2001,198479.85800101672
2933,5,1,Rural,1990,268734.459347827
1920,4,2,Rural,1955,264007.4546314328
1327,3,1,Rural,1952,94955.56338612626
2274,3,3,Suburb,1985,265436.3642636332
1039,5,3,Suburb,1973,145135.7929147527
2594,4,2,Rural,2000,239914.06673812112
1815,2,2,Urban,2017,139145.90399489645
1780,3,3,Rural,2007,184921.67528339796
2193,3,2,Suburb,1956,281436.5501707276
1190,3,3,Rural,2016,220711.41145642332
1556,5,1,Urban,1953,188449.77560958
1362,3,1,Urban,2007,240560.73771191455
1355,3,3,Suburb,2014,228279.770061393
2548,5,3,Suburb,1975,283920.30037374987
2069,5,1,Suburb,2001,254018.00676946243
2247,2,1,Suburb,1992,194794.76060498416
2265,2,1,Suburb,1990,177066.91286648106
2294,4,3,Urban,2006,289829.792204643
1886,2,1,Rural,1984,258690.13347601547
2098,4,3,Rural,2008,364290.88258191256
1302,3,1,Rural,1999,149776.28266620028
1868,4,2,Suburb,2013,187451.06636526497
2476,5,1,Rural,2014,234042.23251880397
1588,3,1,Rural,1977,153862.8005275998
2393,3,1,Rural,1950,296682.25582337787
2341,2,1,Urban,1951,261927.02321199072
1110,2,1,Urban,1965,111978.43298108912
2107,4,1,Urban,2001,268897.9837037878
1409,3,3,Urban,2013,245778.58847076003
1086,5,3,Urban,2020,170203.91860498316
1121,2,1,Suburb,1968,159578.48756461192
1308,3,2,Urban,1970,123920.48346331088
1694,5,2,Rural,1981,220889.5646081667
1923,5,2,Urban,1998,259885.55579429376
2737,5,1,Suburb,2011,180398.57979927404
2748,3,3,Urban,1980,405919.661143478
2387,4,3,Urban,1982,223938.61300299852
1910,4,2,Urban,1957,233471.2404560716
2622,3,1,Rural,1961,280458.16377434257
1552,5,3,Suburb,1973,217123.6059951304
1269,5,2,Rural,1980,170431.00535455588
2628,3,2,Urban,2010,311197.4516668445
2390,2,1,Rural,1968,274857.3725150346
2316,2,3,Rural,2015,200779.6339388505
2024,2,3,Urban,2016,161800.54062624794
2058,3,2,Suburb,2012,92498.86891915087
1836,4,1,Urban,2021,259690.38396052225
1489,3,1,Suburb,1981,168312.86456871335
2329,5,1,Rural,1994,260713.67792424423
2671,2,2,Rural,1987,204274.1137137186
1302,3,1,Rural,2009,146333.16348023657
2987,5,3,Urban,2009,422736.672104107
2170,3,2,Suburb,1983,328386.9642016051
2092,2,3,Urban,2021,201153.1182102601
1360,3,2,Rural,2012,183964.3101365404
1488,4,3,Urban,2011,219217.34491976316
2347,2,1,Suburb,2017,323942.1595361001
1396,3,1,Suburb,2015,109796.94285464322
1821,2,1,Urban,1951,233668.57408326629
2088,5,1,Suburb,1962,171610.24820790975
1084,2,1,Urban,1987,134139.60903690415
1628,2,1,Urban,2003,144881.17485800633
1303,5,1,Suburb,2006,115553.73947195178
1943,3,1,Suburb,1973,220838.3244016946
2806,5,3,Rural,1966,358092.415606291
2692,2,2,Urban,1950,240595.08924117408
1750,2,2,Urban,2018,199661.272241265
2443,5,2,Suburb,2014,296033.6043084375
2408,3,2,Suburb,1992,237328.0109537148
1530,2,1,Urban,1974,168264.02545495314
1686,3,1,Urban,1969,178274.49197995197
2546,3,2,Urban,1979,162431.61805758363
2277,3,3,Urban,1991,308312.9739911121
1920,3,2,Rural,1954,236392.49784965653
1262,3,2,Rural,1974,141315.18216119157
1301,5,2,Urban,1959,117115.04430201052
1553,2,1,Rural,2021,161477.84347245604
2190,2,3,Urban,1953,231003.33827564225
1998,2,2,Rural,1968,241124.976851852
1707,5,3,Suburb,2020,282229.3445409684
2013,3,2,Urban,1972,157919.54134383675
1057,5,1,Urban,1993,92447.1281558547
2153,4,2,Suburb,1974,196594.9196879809
1310,2,2,Rural,1959,142398.43172791146
2679,3,3,Rural,1993,164170.08733128823
1236,5,1,Urban,2020,197949.2005000472
2127,5,1,Urban,2009,191954.00889414852
2895,3,2,Rural,1977,369396.5040953293
2656,5,1,Rural,1999,173033.963628569
2107,2,1,Urban,1963,175527.7662732706
1799,3,3,Suburb,1988,182670.26416401123
1459,3,3,Urban,2009,129503.45794745392
1113,2,3,Urban,2020,103271.5865763537
2203,2,2,Suburb,2010,294099.9274171592
2219,3,1,Suburb,1994,204841.7274701333
1560,3,1,Urban,2006,189661.63875185465
2239,5,3,Rural,1980,245378.18863564264
1072,5,2,Urban,1963,101520.45123919904
1094,5,2,Rural,1977,42159.00376463884
1898,3,1,Urban,1996,213395.4880068581
2140,4,1,Urban,1974,233665.5838934699
1481,5,3,Suburb,1952,241926.84475859703
1963,5,2,Suburb,1982,211545.3915700172
2035,2,3,Rural,2009,275975.0651669102
1845,4,3,Rural,2020,200298.82937026653
1389,2,2,Urban,1966,166923.81041762666
1286,5,1,Rural,1950,189473.96440478557
2010,2,2,Urban,1998,191497.98425704453
1763,5,1,Urban,1988,192576.28338118503
2254,2,3,Urban,1991,216149.2845400621
2713,3,1,Rural,1976,270883.6899999154
2726,5,2,Rural,1971,388796.7966849339
2597,4,2,Urban,1978,326799.0757136331
1482,3,2,Urban,1976,182385.52972668264
1385,2,2,Urban,1987,172911.1215859925
1741,4,3,Suburb,1971,226966.645343388
2940,2,3,Suburb,1956,268314.030958469
1307,3,1,Rural,1994,96464.69354965125
1424,4,2,Urban,2005,133596.25540433865
1855,5,3,Rural,1987,217283.7707998167
1147,5,3,Rural,2014,67321.37160102843
2674,2,2,Rural,1965,411781.9948141856
1519,5,1,Suburb,1958,92982.49698489788
1328,3,3,Suburb,2021,165888.77356260945
2613,4,2,Urban,1959,281734.3934422664
1216,2,2,Urban,1951,147211.25539327372
1766,4,3,Suburb,1999,189955.13717643707
1769,5,1,Rural,1958,237649.0971434748
1373,5,3,Rural,2008,132497.99060398125
2249,4,1,Urban,1996,227382.48329763015
1782,5,1,Suburb,2015,314004.32010807225
1123,2,3,Rural,1966,94380.0978333684
2311,4,3,Rural,1970,256710.06316340785
1662,4,1,Suburb,2005,147084.91270038567
1202,5,2,Rural,1984,250758.4083605866
1234,4,3,Urban,2002,64552.72701899157
2486,4,3,Suburb,1995,319032.1493553289
2067,5,1,Rural,1979,281590.0395577791
1128,3,1,Urban,1979,61993.3838089202
1448,2,2,Rural,1958,189605.2787544329
1873,5,1,Suburb,1980,218285.6546887041
2428,3,1,Suburb,2019,232022.063788884
1597,5,1,Rural,1957,172280.06527021615
2929,4,2,Suburb,1987,327070.7786244999
1404,5,2,Rural,2005,77075.49363805662
1037,4,2,Rural,1984,183274.97427076468
2043,5,1,Suburb,1955,158461.31811795052
1515,4,3,Rural,2012,157802.86103074413
2911,4,2,Urban,2006,249657.27995870035
2693,3,2,Rural,1997,260102.318721006
2342,4,3,Rural,2019,212892.9356957104
2337,3,3,Suburb,1983,169714.92695912067
2140,5,3,Urban,1986,199300.16522124395
1018,5,1,Rural,1970,152476.63906536892
1480,3,1,Suburb,2014,206367.82388821885
2136,5,3,Urban,2007,270464.4600579075
1659,3,3,Urban,1984,235157.30516973176
1123,4,3,Suburb,1956,147367.20978163386
2894,4,1,Suburb,1950,297673.023832112
2648,4,2,Suburb,1998,303507.0474810776
