SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
1894,5,1,Rural,1975,170835.03571295898
1001,5,3,Suburb,1963,126913.4699981214
2264,4,3,Suburb,1964,246611.88309182983
2299,5,1,Suburb,1999,244250.4629690432
2651,2,1,Suburb,1951,271127.6501116246
1882,2,1,Urban,2006,189289.9511990212
2633,4,1,Suburb,1959,343510.5765001611
1674,5,1,Urban,1968,203461.5910795533
2910,2,2,Urban,1957,285903.24768197787
2081,2,2,Rural,1988,224868.95837545165
1444,5,2,Suburb,1999,81837.22299935612
1792,5,3,Rural,2017,174511.50116526094
2637,5,3,Suburb,2011,279132.816803943
2319,5,3,Suburb,2001,365341.8285613511
1381,3,1,Suburb,1955,105776.8433794133
2771,3,2,Suburb,2013,244495.14408928296
2941,3,1,Urban,1964,295600.8975410435
2297,5,1,Urban,2017,250417.95717935625
2013,5,1,Suburb,1969,255727.46591835437
2328,2,2,Rural,1975,294438.56480623106
1503,4,1,Rural,2004,234186.18665983903
1137,3,1,Urban,1969,178426.64533694333
2167,4,3,Rural,1958,266521.92740215774
2594,3,3,Urban,1954,365803.3257222817
2986,5,3,Suburb,1961,297495.3400506958
2069,3,2,Urban,2014,171110.53422585066
2915,4,3,Urban,1987,261810.04680912095
2389,5,2,Urban,1988,263890.30574846204
2794,4,1,Rural,2011,252701.9257618471
2913,3,2,Rural,1999,336544.9397008289
2311,4,3,Rural,1979,272837.4442669656
1241,3,3,Suburb,2016,153373.54263245355
2535,2,2,Suburb,1998,259548.35688021692
2836,3,1,Rural,2005,325137.92978698824
2690,5,2,Urban,2016,313782.925235117
2648,4,3,Suburb,2017,399364.16133819486
1875,3,3,Suburb,2016,169902.66065311502
1577,4,1,Urban,1980,137418.01690928568
1850,3,1,Rural,2012,236858.07769060525
2601,2,2,Urban,1975,297986.0177875241
1425,4,3,Suburb,1972,180421.6432266356
2383,3,1,Urban,2020,235505.81619264628
1692,2,1,Rural,1966,218129.3284139029
1260,3,3,Suburb,1952,142245.8235589112
1347,4,1,Rural,1988,178227.34879919383
2727,5,3,Suburb,1971,279740.8264837475
2631,4,2,Suburb,1983,308901.44316800043
1622,2,2,Rural,1988,157985.60441625855
2638,5,3,Urban,1978,299081.38115130085
2402,3,1,Suburb,1984,185025.8930183564
1404,5,1,Urban,1988,174649.83735311468
1895,3,1,Suburb,1960,221942.9771453401
2872,3,2,Urban,1968,351824.7360433196
2862,3,1,Suburb,1969,231158.31648592275
1224,5,2,Suburb,2005,194484.73945627516
1712,4,3,Rural,2017,119246.9176415724
2012,4,3,Rural,1997,245213.40877802268
1079,4,1,Suburb,1960,114731.35160131069
1939,3,3,Suburb,1983,200265.31994712885
1239,3,1,Rural,1967,145505.5361932352
1336,2,1,Rural,1988,74239.92963583849
2276,4,2,Rural,1981,255596.0404676911
2139,2,1,Suburb,2011,222142.76385958368
1269,4,1,Rural,2016,186981.87726197945
2924,4,3,Suburb,1979,361266.9325964312
1744,2,3,Rural,2019,131563.8176787726
2591,3,1,Rural,2006,282945.3869199111
2599,5,2,Rural,2019,257726.21805792517
1575,4,3,Suburb,1985,206038.5147594445
1549,4,1,Urban,1992,197445.62571634675
1914,3,1,Urban,1969,197314.0156439332
2525,2,2,Rural,1968,260287.4778157696
2168,3,2,Suburb,1985,217059.01602106963
2319,3,1,Urban,1962,320388.55753953435
1048,2,1,Suburb,1993,77633.3601158204
2192,2,2,Suburb,2012,214197.38241749236
2629,2,3,Suburb,1971,358335.65548386105
2895,4,1,Rural,1988,338446.13281628845
2990,5,1,Urban,1992,297863.51351668924
